name,streams_in_mils,songs,songs_with_mil_plus_streams,genre
Drake,418623,248,244,rap
Ed Sheeran,311025,189,168,pop
Ariana Grande,273337,178,171,pop
Bad Bunny,262816,137,136,latin
The Weeknd,260789,146,137,r&b
Post Malone,254951,66,65,rap
Justin Bieber,254751,218,189,pop
Eminem,249381,276,256,rap
Taylor Swift,220439,287,277,pop
J Balvin,217353,225,209,latin
BTS,207660,249,248,kpop
Kanye West,194972,229,208,rap
Billie Eilish,187347,62,61,pop
Khalid,182680,94,92,pop
Ozuna,182336,202,185,latin
XXXTENTACION,180099,130,115,rap
Juice WRLD,178079,97,95,rap
Coldplay,176374,282,260,pop
Rihanna,174589,272,197,r&b
Travis Scott,173334,109,102,rap
Imagine Dragons,171672,130,123,pop
Maroon 5,168754,239,193,pop
Dua Lipa,168064,190,153,pop
Shawn Mendes,162130,123,117,pop
David Guetta,156203,634,347,edm
Calvin Harris,154771,217,171,edm
Daddy Yankee,150286,344,198,latin
Sam Smith,144625,138,125,pop
Bruno Mars,143527,71,66,pop
Queen,138658,558,393,rock
Kendrick Lamar,138352,102,96,rap
The Chainsmokers,138274,173,148,pop
Beyoncé,129731,339,244,pop
Chris Brown,129297,392,320,r&b
One Direction,128589,124,115,pop
Future,128447,455,332,rap
Sia,127512,311,221,pop
Nicki Minaj,127216,160,153,rap
Lady Gaga,123382,305,182,pop
Halsey,122985,152,123,pop
Selena Gomez,122180,133,119,pop
J. Cole,120147,150,133,rap
Anuel AA,115373,136,127,latin
The Beatles,114357,732,411,rock
Maluma,113415,178,169,latin
Twenty One Pilots,113141,83,82,pop
Kygo,111306,100,98,edm
Avicii,109348,247,156,edm
Linkin Park,109004,346,275,metal
Marshmello,108479,139,129,edm
Lil Uzi Vert,107916,127,126,rap
Katy Perry,106034,180,138,pop
Camila Cabello,98496,54,48,pop
Adele,97967,59,58,pop
Jason Derulo,96757,187,127,pop
Farruko,96610,327,253,latin
Lana Del Rey,96358,148,135,pop
Nicky Jam,90558,230,147,latin
Red Hot Chili Peppers,90459,246,199,rock
Shakira,87417,227,190,latin
Arctic Monkeys,87129,133,133,rock
Demi Lovato,86277,214,167,pop
Martin Garrix,82954,180,144,edm
G-Eazy,81532,224,198,rap
Major Lazer,81263,258,169,edm
Miley Cyrus,80739,175,153,pop
Panic! At The Disco,80595,136,128,rock
OneRepublic,80590,143,124,pop
Michael Jackson,80323,343,233,r&b
Pitbull,79627,385,206,rap
Rauw Alejandro,78605,159,124,latin
Ellie Goulding,78415,164,131,pop
Cardi B,77920,65,62,rap
Harry Styles,77787,25,24,pop
Charlie Puth,77433,97,84,pop
Sebastian Yatra,76697,99,91,latin
Lil Wayne,76485,465,292,rap
KAROL G,76433,77,73,latin
Wiz Khalifa,76357,390,284,rap
DaBaby,74057,130,116,rap
Logic,73711,163,161,rap
Migos,73418,282,179,rap
Fall Out Boy,73147,191,164,rock
Young Thug,73136,329,189,rap
Diplo,72753,354,191,edm
21 Savage,72729,151,121,rap
Tyga,72568,294,249,rap
John Mayer,71799,196,171,pop
Alan Walker,71736,128,104,edm
Sech,71350,114,100,latin
Metallica,70581,798,265,rock
P!nk,69922,237,156,pop
Lil Baby,69901,164,150,rap
ZAYN,69899,85,84,pop
DJ Snake,69592,138,97,edm
Macklemore,69561,100,92,rap
Lauv,68839,95,89,pop
Zedd,68217,136,94,edm
Mac Miller,68197,183,168,rap
James Arthur,67589,122,106,pop
Pop Smoke,67249,97,95,rap
Little Mix,67180,202,150,pop
AC/DC,67007,309,237,rock
Lil Peep,66686,92,92,rap
Myke Towers,66509,154,143,latin
Doja Cat,66370,79,70,rap
5 Seconds of Summer,64766,158,155,pop
A$AP Rocky,64650,79,73,rap
Robin Schulz,64557,207,136,pop
A Boogie Wit da Hoodie,64534,119,118,rap
Trippie Redd,64317,184,170,rap
Kodak Black,64160,209,189,rap
Justin Timberlake,62824,167,110,pop
NF,62754,81,81,rap
Green Day,61840,357,293,rock
Frank Ocean,61525,45,45,r&b
Romeo Santos,61456,107,100,latin
Metro Boomin,61420,118,92,rap
Zara Larsson,61414,83,77,pop
DJ Khaled,61389,165,120,rap
Clean Bandit,61344,147,111,edm
Anne-Marie,59978,128,90,pop
Bob Marley & The Wailers,59775,509,301,reggae
Bebe Rexha,59152,110,89,pop
Enrique Iglesias,59005,278,172,latin
Tiësto,58108,639,285,edm
Lil Nas X,57994,33,31,pop
Gunna,57872,153,141,rap
Luis Miguel,57789,312,264,latin
Lewis Capaldi,57693,48,42,pop
Pink Floyd,57598,432,257,rock
Black Eyed Peas,57257,208,123,pop
blackbear,57214,156,136,rap
Luis Fonsi,56803,171,113,latin
Elton John,56661,871,223,pop
Ty Dolla $ign,56511,180,150,r&b
Flo Rida,56462,219,93,rap
BLACKPINK,56390,98,98,kpop
The Rolling Stones,56361,990,347,rock
Nirvana,56096,292,230,rock
YoungBoy Never Broke Again,55689,297,275,rap
Michael Bublé,55191,220,180,pop
JAY-Z,54930,303,224,rap
Jonas Blue,54679,138,87,pop
"Tyler, The Creator",54565,153,109,rap
Russ,54361,337,229,r&b
Fleetwood Mac,54013,673,213,rock
Guns N' Roses,53985,134,105,rock
Bastille,53888,177,138,pop
Machine Gun Kelly,53639,114,105,rap
